0,1,2
887,1718,1022
888,1748,1035
889,1799,1086
890,1690,1075
891,1747,1058
892,1788,1057
893,1792,1084
894,1873,1105
895,1821,1075
896,1663,1137
897,1732,1196
898,1787,1032
899,1662,1139
900,1773,1112
901,1856,1115
902,1809,1140
903,1923,1133
904,1816,1184
905,1843,1148
906,1881,1133
907,2343,1117
908,1902,1069
909,1852,1089
910,1843,1054
911,1800,1059
912,2006,1052
913,1831,1195
914,1910,1104
915,1806,1126
916,1921,1126
917,1887,1124
918,2088,1192
919,1901,1134
920,1962,1150
921,1833,1132
922,1891,1127
923,1868,1129
924,1774,1144
925,1831,1133
926,1823,1133
927,1764,1091
928,1775,1207
929,1934,1078
930,1815,1081
931,1792,1073
932,1829,1108
933,1792,1076
934,1801,1107
935,1945,1075
936,1807,1247
937,1778,1149
938,1881,1179
939,1815,1190
940,1813,1187
941,1945,1161
942,1791,1175
943,1819,1163
944,1884,1160
945,1857,1168
946,1828,1203
947,2009,1205
948,1825,1194
949,1865,1099
950,1949,1103
951,1836,1204
952,1964,1130
953,1877,1112
954,1845,1142
955,1847,1219
956,1968,1206
957,1809,1191
958,1985,1216
959,1847,1217
960,1848,1229
961,1820,1342
962,1864,1123
963,1971,1115
964,1841,1116
965,1851,1117
966,1856,1355
967,1866,1196
968,1934,1207
969,2110,1232
970,1938,1227
971,1799,1229
972,1984,1233
973,1842,1250
974,1962,1128
975,1847,1121
976,1882,1124
977,1923,1205
978,1959,1232
979,2086,1208
980,2007,1244
981,1891,1247
982,2003,1246
983,1974,1135
984,1971,1139
985,1891,1134
986,1935,1137
987,1973,1247
988,1903,1302
989,1941,1224
990,1903,1253
991,2073,1288
992,1951,1180
993,1941,1152
994,1957,1176
995,1968,1400
996,2182,1260
997,1921,1262
998,1956,1264
999,2048,1257
1000,1957,1153
1001,2000,1248
1002,1945,1230
1003,2050,1259
1004,2044,1156
1005,1926,1162
1006,2004,1169
1007,2049,1202
1008,2058,1262
1009,1945,1302
1010,1979,1272
1011,2317,1269
1012,2201,1224
1013,2074,1171
1014,1957,1170
1015,1993,1231
1016,2276,1359
1017,2138,1251
1018,2389,1248
1019,2092,1219
1020,2347,1407
1021,2103,1215
1022,2477,1252
1023,2151,1366
1024,2320,1281
1025,2209,1248
1026,2490,1223
1027,2158,1187
1028,2202,1286
1029,2089,1254
1030,2267,1370
1031,2023,1277
1032,2459,1196
1033,2282,1203
1034,2059,1192
1035,2117,1265
1036,2153,1268
1037,2347,1344
1038,2099,1231
1039,2154,1198
1040,2088,1202
1041,2291,1304
1042,2059,1267
1043,2302,1280
1044,2100,1339
1045,2213,1204
1046,2179,1209
1047,2324,1284
1048,2213,1332
1049,2053,1331
1050,2427,1326
1051,2119,1212
1052,2306,1218
1053,2006,1324
1054,2340,1320
1055,2127,1328
1056,2146,1248
1057,2140,1216
1058,2056,1259
1059,2223,1338
1060,2133,1329
1061,2399,1339
1062,2069,1225
1063,2267,1225
1064,1999,1380
1065,2348,1262
1066,2047,1336
1067,2320,1263
1068,2151,1230
1069,2115,1318
1070,2446,1307
1071,2087,1399
1072,2316,1267
1073,2083,1242
1074,2377,1323
1075,2131,1321
1076,2375,1318
1077,2164,1294
1078,2274,1246
1079,2081,1327
1080,2640,1357
1081,2175,1412
1082,2391,1288
1083,2166,1256
1084,2179,1335
1085,2194,1329
1086,2148,1331
1087,2180,1287
1088,2157,1380
1089,2438,1292
1090,2150,1258
1091,2500,1345
1092,2180,1337
1093,2408,1378
1094,2068,1264
1095,2342,1289
1096,2101,1385
1097,2427,1422
1098,2346,1298
1099,2324,1267
1100,2245,1383
1101,2087,1374
1102,2190,1388
1103,2225,1316
1104,2106,1427
1105,2145,1352
1106,2525,1343
1107,2236,1280
1108,2487,1396
1109,2088,1347
1110,2334,1484
1111,2134,1320
1112,2301,1391
1113,2092,1387
1114,2152,1348
1115,2241,1289
1116,2200,1381
1117,2447,1354
1118,2212,1353
1119,2133,1290
1120,2156,1393
1121,2342,1393
1122,2512,1363
1123,2648,1409
1124,2215,1368
1125,2288,1332
1126,2210,1366
1127,3177,1301
1128,2562,1403
1129,2301,1427
1130,2253,1305
1131,2262,1393
1132,2349,1415
1133,2222,1421
1134,2157,1370
1135,2268,1467
1136,2268,1408
1137,2318,1342
1138,2163,1458
1139,2215,1421
1140,2259,1395
1141,2236,1315
1142,2223,1533
1143,2260,1462
1144,2216,1333
1145,2212,1408
1146,2238,1388
1147,2254,1325
1148,2259,1531
1149,2255,1463
1150,2336,1436
1151,2193,1331
1152,2233,1361
1153,2190,1402
1154,2331,1434
1155,2221,1433
1156,2301,1400
1157,2200,1364
1158,2343,1371
1159,2393,1474
1160,2386,1409
1161,2242,1339
1162,2347,1375
1163,2218,1407
1164,2325,1342
1165,2222,1382
1166,2217,1415
1167,2248,1428
1168,2512,1356
1169,2256,1432
1170,2310,1423
1171,2355,1378
1172,2320,1424
1173,2239,1566
1174,2215,1359
1175,2311,1453
1176,2351,1363
1177,2391,1439
1178,2385,1435
1179,2308,1376
1180,2390,1440
1181,2383,1439
1182,2384,1414
1183,2353,1446
1184,2404,1448
1185,2297,1380
1186,2276,1443
1187,2263,1451
1188,2414,1394
1189,2308,1457
1190,2408,1511
1191,2271,1426
1192,2415,1463
1193,2620,1495
1194,2359,1390
1195,2506,1537
1196,2464,1504
1197,2503,1391
1198,2321,1496
1199,2367,1500
1200,2651,1394
1201,2251,1512
1202,2583,1470
1203,2399,1459
1204,2647,1533
1205,2487,1496
1206,2603,1436
1207,2396,1466
1208,2533,1495
1209,2401,1443
1210,2826,1510
1211,2336,1515
1212,2778,1525
1213,2590,1552
1214,2541,1436
1215,2630,1401
1216,2494,1473
1217,2426,1442
1218,2434,1568
1219,2567,1512
1220,2537,1399
1221,2518,1480
1222,2854,1498
1223,2694,1549
1224,2727,1710
1225,2662,1414
1226,2460,1582
1227,2686,1452
1228,2534,1445
1229,2519,1551
1230,2508,1501
1231,2414,1561
1232,2509,1580
1233,2446,1417
1234,2601,1541
1235,2406,1532
1236,2655,1552
1237,2447,1537
1238,2833,1483
1239,2473,1546
1240,2829,1690
1241,2565,1772
1242,2555,1789
1243,2544,1554
1244,2497,1554
1245,2696,1546
1246,2477,1573
1247,2505,1505
1248,2375,1441
1249,2596,1635
1250,2374,1551
1251,2799,1588
1252,2430,1551
1253,2632,1473
1254,2586,1542
1255,2672,1474
1256,2569,1546
1257,2750,1541
1258,2647,1544
1259,2591,1638
1260,2622,1740
1261,2485,1602
1262,2531,1584
1263,2551,1459
1264,2548,1604
1265,2602,1729
1266,2570,1602
1267,2522,1568
1268,2534,1609
1269,2534,1570
1270,2569,1489
1271,2557,1572
1272,2544,1462
1273,2509,1601
1274,2520,1556
1275,2536,1613
1276,2589,1833
1277,2545,1642
1278,2547,1559
1279,2593,1619
1280,2565,1594
1281,2554,1513
1282,2595,1582
1283,2559,1475
1284,2616,1620
1285,2581,1514
1286,2797,1630
1287,2607,1734
1288,2625,1561
1289,2572,1599
1290,2594,1566
1291,2668,1592
1292,2549,1530
1293,2557,1595
1294,2541,1529
1295,2831,1600
1296,2656,1505
1297,2734,1638
1298,2629,1670
1299,2535,1563
1300,2521,1615
1301,2560,1653
1302,2592,1604
1303,2492,1612
1304,2592,1645
1305,2543,1580
1306,2603,1564
1307,2485,1661
1308,2534,1666
1309,2487,1694
1310,2752,1630
1311,3765,2066
1312,3748,2115
1313,3817,2173
1314,3695,2135
1315,3784,2102
1316,3877,2103
1317,3652,2100
1318,3709,2105
1319,3596,2148
1320,3686,2111
1321,3943,2079
1322,3817,2188
1323,3718,2124
1324,3775,2088
1325,3662,2054
1326,3776,2121
1327,3931,2065
1328,3845,2044
1329,3884,2303
1330,3777,2087
1331,3714,2084
1332,4031,2091
1333,3796,2289
1334,3874,2201
1335,3754,2089
1336,3724,2116
1337,4380,2057
1338,3862,2115
1339,3790,12661
1340,3859,2238
1341,3882,2222
1342,3893,3803
1343,3848,2457
1344,3762,2122
1345,3919,4234
1346,3780,2060
1347,3909,2050
1348,3994,4443
1349,3711,2153
1350,3839,2196
1351,3776,4511
1352,3846,2203
1353,3843,2186
1354,3873,4331
1355,3847,2198
1356,3750,2147
1357,3756,5013
1358,3960,2277
1359,3865,2257
1360,4072,2153
1361,4013,2243
1362,3832,2152
1363,4022,2275
1364,3804,2188
1365,4021,2221
1366,3905,2163
1367,3836,2161
1368,3949,2161
1369,4095,2166
1370,3971,2386
1371,3972,2183
1372,3968,2144
1373,3952,2169
1374,3951,2334
1375,4184,2205
1376,4004,2213
1377,4223,2174
1378,4064,2183
1379,5175,2143
1380,4000,2182
1381,4272,2328
1382,4108,2185
1383,5945,2187
1384,4017,2189
1385,5283,2343
1386,3918,2469
1387,5463,2163
1388,3878,2418
1389,5350,2215
1390,3945,2178
1391,4431,2183
1392,3885,2216
1393,4961,2190
1394,4241,2199
1395,5651,2361
1396,3845,2193
1397,4401,2234
1398,4004,2190
1399,4480,2256
1400,4138,2218
1401,3967,2237
1402,4509,2376
1403,4362,2254
1404,4046,2222
1405,4307,2202
1406,4087,2234
1407,4022,2208
1408,4534,2253
1409,4083,2499
1410,3939,2218
1411,4141,2222
1412,4073,2238
1413,4023,2226
1414,4398,2202
1415,4082,2264
1416,3988,2377
1417,4562,2299
1418,4189,2306
1419,4164,2311
1420,4742,2311
1421,4048,2280
1422,4088,2199
1423,4343,2345
1424,4097,2285
1425,3945,2267
1426,4661,2242
1427,4148,2271
1428,4036,2271
1429,4442,2237
1430,4125,2415
1431,4109,2292
1432,4428,2245
1433,4180,2250
1434,4088,2250
1435,4360,2302
1436,4132,2265
1437,4032,2311
1438,4444,2256
1439,4159,2253
1440,4163,2342
1441,5224,2368
1442,4154,2293
1443,4157,2267
1444,5556,2291
1445,4272,2271
1446,4011,2252
1447,4595,2393
1448,4025,2312
1449,4099,2288
1450,4527,2323
1451,4229,2281
1452,4061,2334
1453,4481,2389
1454,4090,2336
1455,4071,2285
1456,5410,2293
1457,4202,2349
1458,4194,2645
1459,4665,2297
1460,4132,2288
1461,4215,2327
1462,4620,2290
1463,4256,2388
1464,4064,2371
1465,4693,2313
1466,4063,2380
1467,4122,2484
1468,4686,2497
1469,4361,2336
1470,4315,2302
1471,4541,2364
1472,4056,2302
1473,4230,2328
1474,4880,2434
1475,4518,2419
1476,4244,2283
1477,4776,2445
1478,4254,2943
1479,4300,2451
1480,4639,2522
1481,4243,2441
1482,4196,2345
1483,4589,2327
1484,4276,2410
1485,4251,2335
1486,4620,2326
1487,4263,2455
1488,4172,2344
1489,4693,2342
1490,4376,2406
1491,4288,2385
1492,4760,2342
1493,4299,2346
1494,4419,2448
1495,4657,2346
1496,4281,2387
1497,4142,2600
1498,4792,2426
1499,4292,2355
1500,4263,2627
1501,4390,2354
1502,4183,2413
1503,4294,2431
1504,4806,2365
1505,4332,2434
1506,4234,2360
1507,4573,2504
1508,4365,2416
1509,4321,2441
1510,4854,2546
1511,4321,2427
1512,4269,2365
1513,4649,2509
1514,4320,2405
1515,4405,2448
1516,4819,2429
1517,4227,2379
1518,4924,2378
1519,4643,2416
1520,4443,2521
1521,4422,2477
1522,4752,2383
1523,4190,2511
1524,4432,2394
1525,4586,2462
1526,4372,2508
1527,4421,2510
1528,4804,2521
1529,4404,2600
1530,4346,2418
1531,4986,2457
1532,4486,2483
1533,4377,2444
1534,4843,2592
1535,4494,2501
1536,4305,2365
1537,4964,2481
1538,4446,2402
1539,4636,2681
1540,4921,2403
1541,4754,2460
1542,4322,2585
1543,6806,2419
1544,4312,2509
1545,4418,2539
1546,4763,2468
1547,4462,2450
1548,4329,2529
1549,4605,2413
1550,4578,2517
1551,4475,2448
1552,5144,2487
1553,4459,2460
1554,4445,2456
1555,4714,2527
1556,4368,2464
1557,4425,2433
1558,4795,2584
1559,4485,2498
1560,4572,2469
1561,4874,2698
1562,4502,2463
1563,4457,2446
1564,4777,2613
1565,4589,2440
1566,4443,2611
1567,4809,2474
1568,4509,2632
1569,4358,2439
1570,4748,2483
1571,4441,2414
1572,4440,2453
1573,4793,2455
1574,4537,2469
1575,4529,2536
1576,4822,2500
1577,5320,2699
1578,4562,2461
1579,4875,2466
1580,4635,2664
1581,4480,2462
1582,4929,2562
1583,4566,2635
1584,4632,2531
1585,4822,2545
1586,4612,2680
1587,4575,2502
1588,4875,2502
1589,4570,2513
1590,4452,2479
1591,5053,2565
1592,4818,2618
1593,4587,2443
1594,5086,2486
1595,4640,2550
1596,4560,2538
1597,5857,2532
1598,4486,2497
1599,4804,2493
1600,4953,2557
1601,4695,2491
1602,4703,2563
1603,5105,2513
1604,4621,2498
1605,4625,2744
1606,5097,2527
1607,4614,2497
1608,4606,2658
1609,5351,2624
1610,4643,2543
1611,4580,2600
1612,4966,2556
1613,4670,2513
1614,4454,2650
1615,5194,2597
1616,4574,2614
1617,4800,2831
1618,5149,2550
1619,4891,2657
1620,4546,2787
1621,4973,2525
1622,4605,2591
1623,4456,2714
1624,5098,2489
1625,4690,2630
1626,4619,2781
1627,4847,2571
1628,4499,2524
1629,4669,2824
1630,5236,2609
1631,4676,2506
1632,4627,2820
1633,5152,2546
1634,4479,2578
1635,4546,2759
1636,5127,2562
1637,4758,2587
1638,4656,2729
1639,5104,2546
1640,4651,2587
1641,4585,2674
1642,5313,2559
1643,4514,2589
1644,4824,2717
1645,5117,2553
1646,4760,2566
1647,4583,2720
1648,5165,2629
1649,4795,2573
1650,4627,2725
1651,5147,2571
1652,4844,2565
1653,4805,2762
1654,5083,2606
1655,4591,2616
1656,4616,2755
1657,5068,2678
1658,4651,2547
1659,4591,2731
1660,5102,2685
1661,4754,2777
1662,4760,2759
1663,7151,2587
1664,4723,2728
1665,4801,2728
1666,5017,2594
1667,4718,2593
1668,4596,2803
1669,5224,2593
1670,4652,2601
1671,4863,2818
1672,5293,2714
1673,4583,2758
1674,4788,3390
1675,5097,2785
1676,5076,2664
1677,4587,2583
1678,5237,2637
1679,4715,2714
1680,4891,2714
1681,5356,2648
1682,4783,2771
1683,4848,2728
1684,5128,2582
1685,4806,2703
1686,4659,2595
1687,5055,2722
1688,4799,2631
1689,5334,2623
1690,4977,2696
1691,4904,2756
1692,4844,2651
1693,5068,2631
1694,4672,2745
1695,4720,2815
1696,5149,2724
1697,4889,2948
1698,5012,2757
1699,5314,2639
1700,4878,2841
1701,4656,2676
1702,5303,2711
1703,4740,2793
1704,5103,2652
1705,4744,2648
1706,5164,2656
1707,4826,2646
1708,5225,2738
1709,4923,2778
1710,5140,2659
1711,4707,2732
1712,5225,2915
1713,4784,2789
1714,5090,2739
1715,4831,2667
1716,5249,2858
1717,4883,2781
1718,5145,2861
1719,4871,2746
1720,5058,2896
1721,4739,2685
1722,5370,2750
1723,4827,2857
1724,5193,2770
1725,4703,2817
1726,5054,2754
1727,4924,2966
1728,5188,2736
1729,5012,2691
1730,5173,2669
1731,4828,2693
1732,5365,2725
1733,4859,2753
1734,5286,2938
1735,4790,2692
1736,5324,2732
1737,4980,2908
1738,5272,2783
1739,4922,2772
1740,5375,2954
1741,4812,2719
1742,5421,2706
1743,4841,2711
1744,5304,2745
1745,4931,2816
1746,5441,2729
1747,5189,2719
1748,5359,2873
1749,4901,2721
1750,5480,2734
1751,5081,2832
1752,5222,2805
1753,4808,2931
1754,5414,2971
1755,5049,2732
1756,5277,2782
1757,5164,2803
1758,5536,2730
1759,4969,2775
1760,5413,2770
1761,5121,2804
1762,5418,2752
1763,4991,2737
1764,5466,2739
1765,4916,2882
1766,5591,2808
1767,4876,2817
1768,5470,2987
1769,4859,2756
1770,5509,2775
1771,5010,2937
1772,5505,2800
1773,4857,2783
1774,5589,2830
1775,4871,2826
1776,5329,2829
1777,4974,2762
1778,5366,3006
1779,5036,2947
1780,5577,2762
1781,5234,2830
1782,5395,2947
1783,4905,2805
1784,5374,2907
1785,4898,2776
1786,5396,2809
1787,4917,2910
1788,5585,2834
1789,4972,2838
1790,5490,3268
1791,4906,2919
1792,6048,2852
1793,5234,3006
1794,5465,2858
1795,5167,2892
1796,5689,2855
1797,5176,2862
1798,5362,2789
1799,5357,2794
1800,5499,2795
1801,5189,2933
1802,5778,2797
1803,5106,2806
1804,5532,3067
1805,5181,2910
1806,5451,2881
1807,5154,2859
1808,5728,2849
1809,5211,2841
1810,5727,2811
